Importers	Exported value in 2001	Exported value in 2002	Exported value in 2003	Exported value in 2004	Exported value in 2005	Exported value in 2006	Exported value in 2007	Exported value in 2008	Exported value in 2009	Exported value in 2010	Exported value in 2011	Exported value in 2012	Exported value in 2013	Exported value in 2014	Exported value in 2015	Exported value in 2016	Exported value in 2017	
"Singapore"	104576	98692	100482	76022	78755	357281	389772	793092	349441	594027	840072	443632	355149	370629	432551	417889	680913	
"Uzbekistan"	89725	93473	138422	145226	151071	175995	225612	337130	279964	282666	354490	449884	562526	603013	488654	533018	680780	
"Qatar"	8402	15496	15688	35026	82045	342147	449963	1074013	289361	162549	188138	257329	244077	344713	423097	439142	649489	
"Hong Kong, China"	146309	149372	94698	143774	115192	148113	179903	189188	229173	247717	425636	337239	420350	439472	345319	400182	627842	
"Korea, Republic of"	62364	53219	57928	79623	99771	155966	152311	271254	234609	304301	528507	527993	460050	470464	568635	518775	584689	
"Yemen"	100362	116422	156069	203945	197193	197869	274289	353605	379263	330392	272733	485937	605214	643827	395764	535505	572917	
"Norway"	70291	114554	171420	206258	245165	260896	375340	391174	388950	343911	379523	450621	618471	557600	454015	559085	547518	
"Malta"	62934	132453	156990	98358	279338	226760	620669	956354	664109	410433	899715	919083	886753	1014999	494002	238627	541218	
"Australia"	84287	99152	136148	226794	227524	289008	291834	367316	304983	336488	410549	421731	462849	505008	521308	633347	538334	
"Ireland"	147396	181181	261651	432893	404607	575374	637455	663903	294769	339265	354004	347199	379648	470907	466755	494544	527532	
"South Africa"	77871	87206	121528	190113	315739	598489	653785	1238632	866774	369235	510523	381772	619718	545232	489167	405943	485104	
"Mexico"	51773	76451	40422	150608	163672	140778	196750	152166	93023	145500	144986	205999	238712	311978	344059	443738	441478	
"Kuwait"	104769	136934	165941	265777	210349	219017	221292	493035	211242	395051	297207	290582	334938	372320	482582	431310	439940	
"Belarus"	20084	20072	19579	24609	49785	64823	95919	145337	119172	186508	232680	264365	303152	272251	205144	357524	422369	
