Product code	Product label	Turkey's exports to China-Value in 2001	Turkey's exports to China-Value in 2002	Turkey's exports to China-Value in 2003	Turkey's exports to China-Value in 2004	Turkey's exports to China-Value in 2005	Turkey's exports to China-Value in 2006	Turkey's exports to China-Value in 2007	Turkey's exports to China-Value in 2008	Turkey's exports to China-Value in 2009	Turkey's exports to China-Value in 2010	Turkey's exports to China-Value in 2011	Turkey's exports to China-Value in 2012	Turkey's exports to China-Value in 2013	Turkey's exports to China-Value in 2014	Turkey's exports to China-Value in 2015	Turkey's exports to China-Value in 2016	Turkey's exports to China-Value in 2017	China's imports from world- 	China's imports from world-Value in 2001	China's imports from world-Value in 2002	China's imports from world-Value in 2003	China's imports from world-Value in 2004	China's imports from world-Value in 2005	China's imports from world-Value in 2006	China's imports from world-Value in 2007	China's imports from world-Value in 2008	China's imports from world-Value in 2009	China's imports from world-Value in 2010	China's imports from world-Value in 2011	China's imports from world-Value in 2012	China's imports from world-Value in 2013	China's imports from world-Value in 2014	China's imports from world-Value in 2015	China's imports from world-Value in 2016	China's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
04	"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ..."	267	333	333	49	145	733	1329	79	28	31	0	230	457	329	402	283	306		218892	272233	349832	448072	461780	565243	752943	872778	1046346	2000015	2657866	3251392	5245216	6490639	3303432	3516726	5068873		41478	59793	78442	66225	79885	101926	168442	235932	249877	303466	484057	545560	662462	732679	532707	592723	702305	
89	"Ships, boats and floating structures"	0	13150	2290	0	0	0	0	335	3296	0	23727	438	0	6	1152	380	279		699158	607133	812087	1033425	482277	530756	993045	1288067	2479436	1678196	2040255	1783590	2034918	1318015	1003464	1924412	1880827		308647	290073	440511	686334	1251573	1398516	1818572	2647859	1826247	1108614	1271173	812835	1139344	1270033	996784	970058	1308252	
81	"Other base metals; cermets; articles thereof"	0	0	0	7	0	38	46	57	412	1018	41	84	243	241	199	191	272		187355	197534	242320	420056	652322	818311	969824	1317057	1075757	1496782	1509961	1483585	1541434	1565855	1785133	1804134	3086563		1270	1019	1190	2517	2665	2237	4306	5766	4866	8262	13332	14136	14471	13510	8118	11465	23249	
53	"Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn"	0	0	4	65	66	39	301	202	183	335	181	101	317	373	430	544	241		268463	334566	434861	470770	477302	485862	500505	412573	395577	559636	761017	603228	692468	889430	858822	795159	806096		4351	6077	15813	17585	25092	24596	31317	29472	18561	21755	24796	23733	26630	25928	22135	29494	32389	
12	"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ..."	1908	104	4	0	27	623	1288	3	146	673	241	241	162	71	144	249	157		3343988	2777080	5659944	7371415	8158744	8117202	12266321	23182453	21005837	27061892	32020530	38582565	42626755	45887757	39712699	38295395	44497829		53684	50682	73323	80261	96607	116198	129699	149713	154652	182887	229737	238304	278886	255552	199972	372814	284781	
05	"Products of animal origin, not elsewhere specified or included"	28	6	1137	1751	725	79	0	0	68	0	0	0	0	0	0	0	147		172827	191635	215635	251253	221492	192781	235084	255232	275512	418158	428529	446619	498148	479410	466519	522201	613006		28124	37649	48705	47546	40638	33611	34629	40670	31531	33747	45899	56835	64097	74476	54238	50643	54720	
02	"Meat and edible meat offal"	3668	3769	5765	5703	6829	1023	2140	84	2641	671	3615	24	0	86	68	182	115		598013	626936	757551	475790	586729	685738	1519760	2319968	1701444	2224995	3411422	4107752	5929656	5844331	6800510	10262578	9485369		17188	13249	18720	22487	36217	29468	46518	89124	154896	208012	390255	532489	614698	659435	444448	370847	542834	
31	"Fertilisers"	0	0	0	0	0	0	0	278	24	48	143	179	264	151	89	82	105		1556357	2353471	1763098	2287685	3051433	2484398	2906194	3481222	1992861	2571769	3449553	4024450	3374943	3351122	3926818	2407917	2340903		18743	34904	20371	39178	37755	37558	84346	217321	83679	205484	200598	147397	98501	151356	134435	146239	163173	
07	"Edible vegetables and certain roots and tubers"	19	1	58	7	17	25	97	107	77	107	108	108	730	115	305	300	102		209711	194194	241768	404843	523581	755534	800269	584198	1052564	1515542	1823631	2406865	2549352	2579931	2620883	1864236	1992459		375229	319988	473336	485740	533203	706556	861385	952658	1020546	1107483	1070414	966063	1039070	1082368	1040648	941997	1002137	
79	"Zinc and articles thereof"	0	0	0	0	104	407	131	7	1538	500	1135	925	691	139	165	199	90		238390	312172	418188	653378	1005866	1580253	1234797	897285	1377377	1217760	1276503	1469475	1671742	1639344	1444656	1171410	2494370		7383	9026	4722	10229	9617	9330	12639	12933	10846	11410	16812	18549	19385	20682	22622	25257	23786	
