Product code	Product label	Turkey's exports to Spain-Value in 2001	Turkey's exports to Spain-Value in 2002	Turkey's exports to Spain-Value in 2003	Turkey's exports to Spain-Value in 2004	Turkey's exports to Spain-Value in 2005	Turkey's exports to Spain-Value in 2006	Turkey's exports to Spain-Value in 2007	Turkey's exports to Spain-Value in 2008	Turkey's exports to Spain-Value in 2009	Turkey's exports to Spain-Value in 2010	Turkey's exports to Spain-Value in 2011	Turkey's exports to Spain-Value in 2012	Turkey's exports to Spain-Value in 2013	Turkey's exports to Spain-Value in 2014	Turkey's exports to Spain-Value in 2015	Turkey's exports to Spain-Value in 2016	Turkey's exports to Spain-Value in 2017	Spain's imports from world- 	Spain's imports from world-Value in 2001	Spain's imports from world-Value in 2002	Spain's imports from world-Value in 2003	Spain's imports from world-Value in 2004	Spain's imports from world-Value in 2005	Spain's imports from world-Value in 2006	Spain's imports from world-Value in 2007	Spain's imports from world-Value in 2008	Spain's imports from world-Value in 2009	Spain's imports from world-Value in 2010	Spain's imports from world-Value in 2011	Spain's imports from world-Value in 2012	Spain's imports from world-Value in 2013	Spain's imports from world-Value in 2014	Spain's imports from world-Value in 2015	Spain's imports from world-Value in 2016	Spain's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
34	"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ..."	490	324	403	673	1045	1581	2672	1667	2416	1662	1801	1969	3985	4376	3817	3591	3937		428709	512788	680892	752329	751594	870905	1048677	1126310	978332	970945	1051556	1024159	1029121	1069830	950762	987293	1114135		233289	261134	319076	377372	412067	485225	516667	662605	647727	678101	767737	854429	915527	1016321	868379	758972	780074	
88	"Aircraft, spacecraft, and parts thereof"	4780	26143	18501	6537	13296	54774	18286	18768	20932	31041	42868	40453	52029	72230	41299	2154	3951		1807663	1785059	1446206	2586555	3214915	3202930	3596000	3322876	2516056	2728415	2044740	2024239	3092520	2528039	2931475	4216565	5672956		524656	126794	444167	490812	254890	404605	530902	259140	285910	294359	343630	500686	688549	595661	688755	717532	1534670	
07	"Edible vegetables and certain roots and tubers"	3343	1810	4891	5387	9237	3264	2963	4195	2900	2024	2319	2411	1617	2578	4388	2434	3962		619849	575145	712257	1039907	1012612	1102066	1547530	1344110	1132264	1208432	1251196	1244231	1329841	1192819	1117130	1292985	1397203		375229	319988	473336	485740	533203	706556	861385	952658	1020546	1107483	1070414	966063	1039070	1082368	1040648	941997	1002137	
32	"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ..."	419	702	444	630	1277	1066	1630	1747	2028	2621	3083	3376	3246	3190	3269	3773	4146		1011432	1146237	1348223	1618481	1760492	1890674	2120596	2131081	1958063	2001244	2321010	1809091	1851177	1916103	1724053	1847312	2075758		92485	112862	135022	177767	234697	287745	357455	452406	428770	532435	611672	701241	764472	771011	680897	640883	689455	
38	"Miscellaneous chemical products"	550	654	567	1180	1784	2331	5406	5660	3839	2764	1220	2467	2790	3448	3377	3797	4232		1602234	1799349	2315283	2640838	2679434	2836144	3630803	4551612	3887170	4545323	5824261	5321451	4550559	4213134	3918031	4041499	4450227		64299	76232	95566	121883	160869	220295	280150	364258	320298	399775	451639	496882	554767	593496	546420	562646	576576	
35	"Albuminoidal substances; modified starches; glues; enzymes"	172	237	178	139	173	252	462	773	1203	1088	1270	1218	820	1209	1429	1615	4807		333787	334822	405546	487896	512522	561636	627645	688396	584334	586674	655599	599917	660014	702054	605084	612041	676636		10995	22701	19559	25581	34606	44829	55334	70604	75112	94365	135571	183444	197167	181712	175529	182440	196511	
33	"Essential oils and resinoids; perfumery, cosmetic or toilet preparations"	45	157	349	276	226	627	843	984	1596	2382	2563	3497	3658	3913	5036	4667	5328		1293996	1442650	1879526	2212426	2299814	2377942	2707185	2981135	2745151	2807364	3029892	2666699	3085401	3328608	3111446	3289068	3604788		83613	98725	153503	203187	256755	306866	361008	448352	418311	492007	558717	621208	705871	771351	695467	696371	762627	
93	"Arms and ammunition; parts and accessories thereof"	897	1113	929	1041	2105	2256	5621	2391	1399	2504	1114	1815	4113	8193	6510	4190	5607		78828	98953	231656	138788	192311	190856	183860	240729	215282	223507	200074	107566	112402	97777	83507	91475	127456		22713	43941	71820	75471	79473	122205	160002	191962	135699	187625	238017	335990	432602	512762	440855	416715	296869	
89	"Ships, boats and floating structures"	10805	4457	30502	73357	22610	8347	10635	17226	16035	558	9795	332	1983	13723	11172	613	5763		684923	762571	1196535	1453902	3880807	4560940	826212	763271	435031	2365107	1663924	1245671	198134	341977	227590	311667	773508		308647	290073	440511	686334	1251573	1398516	1818572	2647859	1826247	1108614	1271173	812835	1139344	1270033	996784	970058	1308252	
17	"Sugars and sugar confectionery"	3759	3629	1225	3933	4554	4338	3693	5068	3000	6251	8793	5496	8272	5763	6240	4766	6049		420123	487184	519120	580294	613977	650342	760940	880967	818489	780638	1466069	1165994	1373220	1182762	766180	799171	947765		335473	148205	186972	217803	202307	274446	297454	346599	294188	387421	474168	504689	633330	669765	556988	527456	586058	
