Product code	Product label	Turkey's exports to Italy-Value in 2001	Turkey's exports to Italy-Value in 2002	Turkey's exports to Italy-Value in 2003	Turkey's exports to Italy-Value in 2004	Turkey's exports to Italy-Value in 2005	Turkey's exports to Italy-Value in 2006	Turkey's exports to Italy-Value in 2007	Turkey's exports to Italy-Value in 2008	Turkey's exports to Italy-Value in 2009	Turkey's exports to Italy-Value in 2010	Turkey's exports to Italy-Value in 2011	Turkey's exports to Italy-Value in 2012	Turkey's exports to Italy-Value in 2013	Turkey's exports to Italy-Value in 2014	Turkey's exports to Italy-Value in 2015	Turkey's exports to Italy-Value in 2016	Turkey's exports to Italy-Value in 2017	Italy's imports from world- 	Italy's imports from world-Value in 2001	Italy's imports from world-Value in 2002	Italy's imports from world-Value in 2003	Italy's imports from world-Value in 2004	Italy's imports from world-Value in 2005	Italy's imports from world-Value in 2006	Italy's imports from world-Value in 2007	Italy's imports from world-Value in 2008	Italy's imports from world-Value in 2009	Italy's imports from world-Value in 2010	Italy's imports from world-Value in 2011	Italy's imports from world-Value in 2012	Italy's imports from world-Value in 2013	Italy's imports from world-Value in 2014	Italy's imports from world-Value in 2015	Italy's imports from world-Value in 2016	Italy's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
96	"Miscellaneous manufactured articles"	1284	1237	2860	3126	4006	4729	4844	4241	3354	4142	5181	4601	3486	4815	3396	4089	6066		469740	498926	574030	676498	692866	754253	852501	850340	691303	810803	865603	1014299	1055484	1122235	1008079	1034979	1105401		36145	42068	58341	69957	79538	97260	116259	119648	109467	118355	128444	796447	990124	1079876	970872	864211	872790	
24	"Tobacco and manufactured tobacco substitutes"	12041	4262	5907	764	1633	1647	1948	2214	2456	2529	376	206	301	763	693	713	7478		1366055	1450101	1615543	2002049	2266336	2440662	2862555	3095869	3069354	2951523	3088326	2817044	2724376	2466618	2100019	2328116	2361563		435367	385033	418809	477848	590047	684890	643799	704550	757499	697027	670625	842432	904504	1072108	918492	1006056	946199	
93	"Arms and ammunition; parts and accessories thereof"	3173	3949	4825	7322	10877	10632	14295	16021	9061	10615	8145	11161	14152	17566	16543	10888	8516		71618	99819	156049	111107	105515	100382	190653	151118	142382	134804	164641	440372	342823	359222	324706	251663	104550		22713	43941	71820	75471	79473	122205	160002	191962	135699	187625	238017	335990	432602	512762	440855	416715	296869	
33	"Essential oils and resinoids; perfumery, cosmetic or toilet preparations"	75	16	268	585	1002	4881	5490	7317	7185	6543	5428	3253	4239	4350	4875	3521	9524		1442351	1632094	2045684	2358359	2519379	2590147	2985078	3271117	2822554	2934466	3216674	2930617	3089122	3111509	2812938	3006460	3128641		83613	98725	153503	203187	256755	306866	361008	448352	418311	492007	558717	621208	705871	771351	695467	696371	762627	
17	"Sugars and sugar confectionery"	1631	1102	1094	874	1763	503	1013	2696	1710	3137	4316	7650	8307	10820	8800	8735	9681		460066	564780	743233	1030502	839847	801633	1094895	1082082	1155017	1126309	1619306	1755911	1695042	1410909	981878	1149926	1233186		335473	148205	186972	217803	202307	274446	297454	346599	294188	387421	474168	504689	633330	669765	556988	527456	586058	
34	"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ..."	526	663	1036	1287	1290	2880	1010	922	1173	1397	7938	11917	12300	13365	8533	6778	9992		659313	730258	908041	1042727	1064472	1165265	1342514	1429685	1225344	1315642	1615914	1448222	1502275	1552681	1304570	1384527	1541541		233289	261134	319076	377372	412067	485225	516667	662605	647727	678101	767737	854429	915527	1016321	868379	758972	780074	
16	"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates"	3841	3867	5583	5511	6775	5028	5475	4683	3386	6055	8346	7360	17592	16942	15314	10833	10468		602681	704474	906058	1048582	1171227	1265278	1486185	1764101	1602620	1505551	1731372	1667379	1791739	1831756	1558212	1567863	1689937		20547	19474	31661	35633	42300	32000	37307	38763	39998	55773	65446	74530	98419	100845	83176	74193	109450	
21	"Miscellaneous edible preparations"	838	2900	6077	9260	12426	21439	17212	27438	14331	9642	9576	6841	9476	15684	11442	12491	10719		377488	438461	540275	648536	668095	746487	916183	1134600	1035185	1059285	1197907	1122289	1220655	1300152	1155575	1228139	1265213		101738	128560	159716	194286	235660	325668	437292	545692	541313	554692	715533	717680	764246	784319	695253	686295	687045	
44	"Wood and articles of wood; wood charcoal"	6487	11998	14853	13952	9761	9496	11529	11787	8383	9342	10094	10121	7397	11725	10206	8039	10950		3241874	3480157	4165250	5222334	5188434	5983285	6803552	6281246	4621130	5264529	5629720	4527348	4745406	5057086	4243224	4182872	4477140		109563	116997	145381	203276	249515	335595	455777	534724	510031	573203	652927	657954	724631	853305	692752	675873	763956	
12	"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ..."	4321	5602	6073	5897	7446	6058	6493	11727	8762	9203	10537	5779	7902	6666	8673	7884	12028		557751	599985	785139	1013989	922638	909664	1140829	1628326	1293692	1334691	1408852	1418047	1629953	1568910	1159087	1369401	1433232		53684	50682	73323	80261	96607	116198	129699	149713	154652	182887	229737	238304	278886	255552	199972	372814	284781	
