Product code	Product label	Turkey's exports to Belgium-Value in 2001	Turkey's exports to Belgium-Value in 2002	Turkey's exports to Belgium-Value in 2003	Turkey's exports to Belgium-Value in 2004	Turkey's exports to Belgium-Value in 2005	Turkey's exports to Belgium-Value in 2006	Turkey's exports to Belgium-Value in 2007	Turkey's exports to Belgium-Value in 2008	Turkey's exports to Belgium-Value in 2009	Turkey's exports to Belgium-Value in 2010	Turkey's exports to Belgium-Value in 2011	Turkey's exports to Belgium-Value in 2012	Turkey's exports to Belgium-Value in 2013	Turkey's exports to Belgium-Value in 2014	Turkey's exports to Belgium-Value in 2015	Turkey's exports to Belgium-Value in 2016	Turkey's exports to Belgium-Value in 2017	Belgium's imports from world- 	Belgium's imports from world-Value in 2001	Belgium's imports from world-Value in 2002	Belgium's imports from world-Value in 2003	Belgium's imports from world-Value in 2004	Belgium's imports from world-Value in 2005	Belgium's imports from world-Value in 2006	Belgium's imports from world-Value in 2007	Belgium's imports from world-Value in 2008	Belgium's imports from world-Value in 2009	Belgium's imports from world-Value in 2010	Belgium's imports from world-Value in 2011	Belgium's imports from world-Value in 2012	Belgium's imports from world-Value in 2013	Belgium's imports from world-Value in 2014	Belgium's imports from world-Value in 2015	Belgium's imports from world-Value in 2016	Belgium's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
93	"Arms and ammunition; parts and accessories thereof"	212	68	58	43	40	171	703	1325	3945	6148	3853	4988	2431	2871	6036	3395	1366		83781	74290	75968	90403	94444	86870	130631	171191	156167	164708	158010	181404	196749	248340	190326	50104	208548		22713	43941	71820	75471	79473	122205	160002	191962	135699	187625	238017	335990	432602	512762	440855	416715	296869	
95	"Toys, games and sports requisites; parts and accessories thereof"	261	186	264	338	555	506	623	397	886	333	713	226	352	846	852	1014	1438		920561	1005385	1319723	1441587	1537030	1623284	1926575	2135278	1910633	1908545	2051795	1901583	2078996	2108588	1744835	1952808	2034626		15516	15652	21404	25130	26937	35589	52723	67504	52004	65858	81281	98430	118787	129286	117718	107890	124895	
03	"Fish and crustaceans, molluscs and other aquatic invertebrates"	2038	1666	1172	856	725	577	652	769	502	588	715	879	711	494	822	1442	1691		838885	866971	1078947	1221035	1319853	1501617	1617749	1720630	1458469	1517042	1810931	1612375	1786792	1883725	1523266	1684246	1837694		54514	96728	124842	180514	206040	233385	273078	383297	318056	312928	395312	413747	520981	630002	647512	744561	797294	
81	"Other base metals; cermets; articles thereof"	0	32	0	0	50	0	20	32	9	0	376	88	2791	1367	1008	463	1852		243952	249861	352216	610588	548620	584941	955380	434186	221844	304596	400963	278428	304686	282197	228684	216742	282473		1270	1019	1190	2517	2665	2237	4306	5766	4866	8262	13332	14136	14471	13510	8118	11465	23249	
32	"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ..."	60	144	109	195	276	428	509	711	849	938	905	2803	1193	1115	1421	1761	2012		1290278	1471262	1703723	2041231	2082673	2243174	2159442	2370496	1955003	1864075	2271809	2072501	2333745	2243577	1749808	1880394	1856833		92485	112862	135022	177767	234697	287745	357455	452406	428770	532435	611672	701241	764472	771011	680897	640883	689455	
99	"Commodities not elsewhere specified"	5	5	58	247	615	470	794	498	1044	204	452	763	701	1274	3523	2754	2035		717504	177870	292232	342861	698341	2636247	1104665	5006864	3378518	4067993	5926631	4635913	4362651	4256013	3653216	3086942	4343055		17601	16552	54745	107332	254796	288683	305010	268372	273935	166511	206394	148270	300023	555998	339134	372371	413846	
16	"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates"	1862	1948	2583	3609	3109	3844	2897	2740	1939	2193	1775	2024	2910	3549	2760	3139	2377		470877	525853	658342	738788	799258	866727	1020003	1170061	1060530	1021222	1141376	1119751	1337427	1208349	1006739	1064994	1120036		20547	19474	31661	35633	42300	32000	37307	38763	39998	55773	65446	74530	98419	100845	83176	74193	109450	
59	"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable ..."	840	316	859	1054	1374	1497	2004	3456	2877	3549	3273	1754	1850	3144	2524	2071	2383		166474	154879	163865	194303	203084	202556	270441	287667	220535	230896	248346	200958	195329	182601	148097	145002	157125		146253	169580	202635	239060	260767	284153	316063	331663	249996	286664	352834	299011	337908	340298	302988	293200	298985	
30	"Pharmaceutical products"	9658	11122	9187	16752	25879	13002	14821	23040	17486	19274	22004	15916	7464	6652	2796	3182	2401		7411318	20001572	24417644	26829952	30648523	33239551	38199158	41302152	39831717	38768176	33981685	34782990	40969880	39416016	36300502	34891600	34684790		127651	145210	179444	248216	282796	312613	357818	421134	429061	558172	566797	661783	754085	805583	878149	826774	875480	
60	"Knitted or crocheted fabrics"	2138	2000	1690	1485	1616	1910	3592	3735	3456	3105	4111	2478	3484	3500	2721	2527	2465		139297	145701	157993	168593	170854	161536	199787	170159	149750	148717	170459	162622	188339	182895	158708	148290	140724		238948	263624	343559	441763	571082	753162	1011908	1132497	978721	1265851	1482848	1560629	1681870	1693530	1440792	1497948	1554920	
21	"Miscellaneous edible preparations"	1296	1305	1711	1492	1165	1139	1544	1403	1620	2770	1965	3192	2617	2566	2325	2577	2570		467743	538594	670478	768397	814961	863218	983614	1146880	1085788	1057575	1244064	1239409	1434507	1398817	1150255	1274956	1372314		101738	128560	159716	194286	235660	325668	437292	545692	541313	554692	715533	717680	764246	784319	695253	686295	687045	
33	"Essential oils and resinoids; perfumery, cosmetic or toilet preparations"	185	310	253	317	489	955	923	1398	1169	2031	2564	3461	2831	4699	4199	3755	3158		851521	896688	1137748	1308994	1364369	1485242	1854617	2118922	1998454	2058835	2357542	2224086	2695374	2612660	2569074	2986492	3109855		83613	98725	153503	203187	256755	306866	361008	448352	418311	492007	558717	621208	705871	771351	695467	696371	762627	
