Product code	Product label	Turkey's imports from Korea, Republic of-Value in 2001	Turkey's imports from Korea, Republic of-Value in 2002	Turkey's imports from Korea, Republic of-Value in 2003	Turkey's imports from Korea, Republic of-Value in 2004	Turkey's imports from Korea, Republic of-Value in 2005	Turkey's imports from Korea, Republic of-Value in 2006	Turkey's imports from Korea, Republic of-Value in 2007	Turkey's imports from Korea, Republic of-Value in 2008	Turkey's imports from Korea, Republic of-Value in 2009	Turkey's imports from Korea, Republic of-Value in 2010	Turkey's imports from Korea, Republic of-Value in 2011	Turkey's imports from Korea, Republic of-Value in 2012	Turkey's imports from Korea, Republic of-Value in 2013	Turkey's imports from Korea, Republic of-Value in 2014	Turkey's imports from Korea, Republic of-Value in 2015	Turkey's imports from Korea, Republic of-Value in 2016	Turkey's imports from Korea, Republic of-Value in 2017	Korea, Republic of's exports to world- 	Korea, Republic of's exports to world-Value in 2001	Korea, Republic of's exports to world-Value in 2002	Korea, Republic of's exports to world-Value in 2003	Korea, Republic of's exports to world-Value in 2004	Korea, Republic of's exports to world-Value in 2005	Korea, Republic of's exports to world-Value in 2006	Korea, Republic of's exports to world-Value in 2007	Korea, Republic of's exports to world-Value in 2008	Korea, Republic of's exports to world-Value in 2009	Korea, Republic of's exports to world-Value in 2010	Korea, Republic of's exports to world-Value in 2011	Korea, Republic of's exports to world-Value in 2012	Korea, Republic of's exports to world-Value in 2013	Korea, Republic of's exports to world-Value in 2014	Korea, Republic of's exports to world-Value in 2015	Korea, Republic of's exports to world-Value in 2016	Korea, Republic of's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
6802	"Monumental or building stone, natural (excluding slate), worked, and articles; mosaic cubes ..."	0	0	0	0	0	0	0	1	13	0	0	286	0	0	0	0	79		16274	10582	6999	6855	7959	7659	6363	3779	3243	4593	3612	4328	3698	2911	4078	1642	2091		14693	14812	18971	28390	63283	115147	127758	144888	139139	168472	209023	187049	235329	230479	200872	197877	172203	
4820	"Registers, account books, notebooks, order books, receipt books, letter pads, memorandum pads, ..."	136	100	99	83	112	156	192	257	194	224	277	103	151	119	165	67	79		68190	70171	70450	67847	65331	53408	42533	47203	40823	41638	42566	46837	42479	47422	42563	44747	43868		9754	15130	20561	27619	29549	35120	45469	50929	37268	62078	62797	54578	48095	45395	37326	27749	16873	
9611	"Hand-operated date, sealing or numbering stamps, and the like; hand-operated composing sticks ..."	27	139	135	226	223	48	0	0	1	1	0	80	112	158	205	177	80		4306	5996	7118	6511	5554	5156	4890	4687	4530	5366	5051	5308	4884	5180	4607	4143	4936		853	1253	1523	2000	2495	1668	2204	2561	1708	1862	2116	2044	2026	2298	1865	1520	1718	
9104	"Instrument panel clocks and clocks of a similar type for vehicles, aircraft, vessels and other ..."	11	18	192	289	228	204	41	18	15	5729	5769	5365	5640	4079	90	86	80		391	1105	2937	1912	1295	1331	1591	2049	1603	3319	4219	7854	9858	8030	6262	5238	2796		223	235	382	785	564	620	477	511	255	6025	6063	5808	6736	5395	1046	1360	2952	
4113	"Leather further prepared after tanning or crusting "incl. parchment-dressed leather", of goats ..."	0	23	16	20	186	184	110	151	176	807	719	598	391	483	301	4	81		0	43777	39446	31793	31931	35296	36135	39907	28786	30745	34674	39740	35452	29902	26034	21642	20640		0	18955	23671	20202	26380	41642	44054	42653	24738	36294	44190	44377	36670	34231	17284	10507	11781	
7613	"Aluminium containers for compressed or liquefied gas"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	81		865	272	374	1639	1130	1797	1967	210	580	525	145	1687	1207	1136	1157	1789	2499		671	671	1083	1459	1495	1036	2186	3794	1474	2357	2408	2167	2289	3042	8055	4943	7534	
2928	"Organic derivatives of hydrazine or of hydroxylamine"	0	0	0	0	0	0	0	0	2	31	58	85	102	0	0	0	82		876	538	145	58	418	30	694	1528	1596	3838	5120	4908	6120	6110	5539	5833	9863		4111	5228	8095	6498	5958	4748	5687	6972	7235	7679	6781	6226	7518	7152	6727	7444	7787	
8546	"Electrical insulators of any material (excluding insulating fittings)"	0	0	94	209	0	3	13	273	97	5	3	24	9	1	10	4	83		736	1500	1699	2717	2049	914	3450	3198	3936	8746	12934	11748	7780	4921	5479	5176	6692		14618	11777	11355	12520	14783	14713	19529	44681	37398	38713	56840	56851	59139	59219	53105	45897	44896	
4112	"Leather further prepared after tanning or crusting "incl. parchment-dressed leather", of sheep ..."	0	0	0	36	18	0	0	0	0	10	12	0	254	248	39	164	84		0	182891	148937	132788	74129	65429	69934	56021	42036	54421	43696	39601	38853	35048	33590	28236	18577		0	69417	61720	70588	64905	81217	95484	94799	60471	73350	71798	61953	64714	57367	33173	25073	22244	
6203	"Men's or boys' suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches ..."	125	50	172	253	258	914	601	56	29	26	14	8	34	62	52	55	85		164091	180427	187471	172489	107350	90977	82884	68383	39507	52886	60422	57772	63104	56550	59263	43452	38861		24177	29925	44849	82601	102278	118082	169278	251561	229240	307028	341362	293315	367141	345528	303431	253757	224565	
4001	"Natural rubber, balata, gutta-percha, guayule, chicle and similar natural gums, in primary ..."	0	4	0	75	0	48	0	0	0	0	1	0	66	24	43	63	85		762	1809	1082	1265	1623	2594	1719	3183	4024	12121	2952	3922	1394	2569	1855	2156	4456		55959	76729	117162	167595	192590	287709	321855	397758	202531	432165	724018	461134	396084	326238	256518	228051	345116	
6115	"Pantyhose, tights, stockings, socks and other hosiery, incl. graduated compression hosiery ..."	4	20	2	35	34	58	190	340	127	126	209	169	274	284	160	113	86		343139	345214	343316	344289	371287	325946	251563	245289	183376	194273	209242	174938	179704	175348	167357	148387	131515		4550	4748	6618	10640	12074	20330	28414	33700	28315	46017	61128	56091	48534	41742	35755	38026	33357	
6110	"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted (excluding ..."	831	889	898	3201	5454	4165	3588	159	66	47	79	49	41	51	89	63	86		594553	582395	538759	470441	224256	157916	170145	81584	67458	57949	70105	73892	80075	89994	96480	100690	103790		35036	34540	54079	81762	108293	159274	218929	297787	320188	414367	399973	276508	323646	312062	233485	195680	184017	
7605	"Aluminium wire (excluding stranded wire, cables, plaited bands and the like and other articles ..."	0	0	0	0	0	2	1	41	0	0	54	0	3	22	83	121	87		9930	13072	9007	6790	4751	10909	7290	11705	7727	11225	13749	49151	23804	26088	24238	23113	19869		6492	7540	9574	15513	20571	17118	21901	43380	21247	36645	47189	58331	71526	64337	46675	47327	90798	
3603	"Safety fuses; detonating fuses; percussion or detonating caps; igniters; electric detonators ..."	269	241	266	0	0	0	0	0	0	0	0	0	0	0	7	0	88		169	206	624	873	1025	1499	1645	1310	2199	5919	7349	7104	9768	9616	11290	9151	12763		3151	4522	2621	3316	5969	8226	14428	14911	14473	20020	29523	30683	32565	34913	25532	25165	29994	
8514	"Industrial or laboratory electric furnaces and ovens, incl. those functioning by induction ..."	11	153	502	27	265	1548	16	165	2106	2730	250	422	433	700	1359	239	89		15563	16009	35361	62707	67911	91413	73620	133758	52182	129873	110528	138720	191977	177459	167704	149903	173875		25546	12582	36778	32472	45802	56667	59728	68244	95415	67387	117821	76897	69665	62859	75110	61219	60283	
3704	"Photographic plates, film, paper, paperboard and textiles, exposed but not developed"	0	0	0	0	0	0	0	0	4	20	54	35	0	5	198	71	92		195	303	340	463	683	351	594	1055	2067	2691	3848	7988	7423	6491	8619	7485	6617		34	58	30	58	20	26	205	350	443	557	491	187	361	413	562	384	283	
6109	"T-shirts, singlets and other vests, knitted or crocheted"	32	56	27	27	74	39	225	79	35	33	18	54	108	118	102	68	95		327223	255056	225982	236403	231502	175998	143244	148323	127533	153979	154006	159732	165081	201927	224894	219174	200938		15225	21004	32758	46098	53011	76634	101865	145938	133296	166159	194208	127569	168520	186262	163657	166827	159260	
9102	"Wrist-watches, pocket-watches and other watches, incl. stop-watches (excluding of precious ..."	2623	2313	2274	2771	2692	1755	1982	2266	1771	1347	2703	3354	1825	867	303	234	98		128693	116828	107775	93360	77858	71122	63380	49345	40002	37514	35303	36983	33968	26192	24094	21646	25643		26470	39654	48491	78608	86565	95641	119070	149903	114186	174975	226111	201887	240993	236569	221112	190281	207896	
5211	"Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally ..."	3	58	389	107	330	1052	1802	893	545	188	128	195	212	47	124	374	98		62185	60633	67018	69875	59799	52746	46997	39926	26309	32249	39198	28240	30908	29270	26670	24442	19669		16002	25334	28872	44400	32998	25272	62693	77094	93424	121192	122582	75964	90556	81080	67872	62352	51792	
8416	"Furnace burners for liquid fuel, for pulverised solid fuel or for gas; mechanical stokers, ..."	54	26	43	48	0	9	0	7	1	29	48	0	456	47	1	9	100		5236	4637	8358	11077	12172	12671	19011	16410	16226	15907	29075	23733	37999	33876	27362	37323	36307		10507	35138	32198	28341	34769	41480	45698	52804	33522	39521	52840	53067	80585	64182	50033	48770	67207	
3407	"Modelling pastes, incl. those put up for children's amusement; preparations known as "dental ..."	0	0	36	0	28	37	40	192	403	320	945	1057	80	277	237	39	101		665	918	440	2139	3683	2779	1655	2164	1921	4017	4891	6770	6876	7694	5428	6112	5931		934	1442	2399	3481	4229	6089	7284	11637	8689	9527	29848	27744	27712	22782	18623	19158	14784	
1604	"Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs"	31	20	0	19	2	0	0	0	0	68	96	126	36	83	204	183	102		159349	140896	114205	104903	98294	77649	49113	58585	74210	83764	94981	102705	96566	95633	84986	93617	92802		288	341	634	538	753	1201	730	594	2169	2036	1363	1397	1000	3164	4038	4446	3916	
9616	"Scent sprays and similar toilet sprays, and mounts and heads therefor; powder puffs and pads ..."	46	47	190	114	66	60	101	33	245	106	56	33	123	222	158	258	105		20701	16890	18880	21481	19482	19498	29864	30687	29804	42830	48753	63673	61200	33100	40321	53014	50772		4888	7480	11924	18079	25952	29216	28019	25533	21441	27896	31245	30733	28879	33070	29016	25997	31764	
2804	"Hydrogen, rare gases and other non-metals"	47	26	60	38	142	31	127	498	0	269	310	0	64	75	0	0	111		10107	7756	16575	24092	49987	74088	158600	784673	894045	1424332	2250877	957571	840693	1377928	1325061	1301528	1290986		3809	5398	7429	10744	10908	13404	15093	23984	17826	28557	36113	32259	25038	36850	33175	33277	33535	
8309	"Stoppers, caps and lids, incl. crown corks, screw caps and pouring stoppers, capsules for bottles, ..."	0	13	10	6	4	9	8	14	7	201	189	65	140	100	28	98	113		11024	10019	11140	12931	14063	13443	16573	22096	19287	21713	32872	37677	42962	46470	46412	63843	66694		18164	24463	32486	42866	63958	68864	84421	86125	74715	80042	87193	90723	97692	105228	102321	105273	104463	
3306	"Preparations for oral or dental hygiene, incl. denture fixative pastes and powders; yarn used ..."	0	0	0	0	0	0	39	0	0	9	34	16	83	90	626	38	113		6561	8089	6555	6864	5227	8379	7720	7814	8791	14919	24329	27874	27272	30747	46006	77391	54958		12279	12520	16112	19921	24429	32447	46033	47500	62293	69548	69587	70077	84288	104850	107173	98368	86880	
7415	"Nails, tacks, drawing pins, staples and similar articles, of copper or with shafts of iron ..."	0	4	37	0	5	2	35	126	2	31	13	6	95	70	68	113	114		1707	1998	3682	3438	5635	5817	5982	7008	5646	7725	8609	8982	5903	7122	8669	13523	15466		604	992	1602	2172	2648	3656	4749	5147	3961	6714	8774	9056	11118	12898	13878	11063	10831	
3210	"Paints and varnishes, incl. enamels, lacquers and distempers (excluding those based on synthetic ..."	0	0	0	29	0	10	5	614	200	427	556	648	720	122	166	136	114		7197	7379	8959	12153	16311	13360	14800	18540	12892	13466	12978	13169	12600	15051	17953	27608	31604		4475	6235	7194	8837	9956	10537	14473	16391	13482	13663	17264	16726	17141	23273	23783	24195	24782	
6406	"Parts of footwear, incl. uppers whether or not attached to soles other than outer soles; removable ..."	0	6	14	0	16	5	5	0	0	0	0	0	0	5	92	276	115		349736	326671	325999	346687	360606	375415	370806	385495	280969	313940	319860	317664	345981	327643	321844	331489	298054		8658	12148	15768	16033	13870	17583	29719	34339	25440	34090	55620	57508	58341	58516	65103	66255	58838	
8310	"Sign-plates, nameplates, address-plates and similar plates, numbers, letters and other symbols, ..."	14	25	23	122	115	119	22	35	20	23	53	63	52	54	81	180	115		1679	4785	7888	9434	8943	10948	17811	15295	9242	10514	9293	8443	10960	22281	13619	11674	13626		740	1104	2102	4159	4058	5082	7593	8108	5150	7210	9559	8951	9132	8275	6738	6405	7407	
1515	"Fixed vegetable fats and oils, incl. jojoba oil, and their fractions, whether or not refined, ..."	0	0	2	0	0	0	0	0	0	0	0	5	0	0	0	0	116		692	560	361	483	895	1200	2253	5851	3482	7677	12443	19512	16455	20299	36583	35855	39807		40630	65725	75264	75171	95586	93726	107832	150775	80218	68277	69777	53437	57063	36601	41644	60217	46003	
4205	"Articles of leather or composition leather (excluding saddlery and harness bags; cases and ..."	1	105	10	8	16	16	107	13	2	6	1	5	10	3	1	152	116		2537	3346	14431	18522	1698	4681	8335	6414	7911	8245	10807	10299	18538	17519	21170	31720	21528		3506	8664	12694	11698	11608	11011	14936	18626	13873	16381	16851	16255	23974	29795	27811	28195	28234	
7105	"Dust and powder of natural or synthetic precious or semi-precious stones"	659	1090	1181	385	354	605	705	675	383	446	469	537	670	446	127	170	117		31103	32155	27735	25174	24204	26310	28290	30459	21272	31467	34435	35068	26061	22436	22859	22776	26088		2748	2475	3138	3364	4462	4172	4415	3640	3822	4722	5280	5888	5653	5692	4904	4212	4524	
5907	"Impregnated, coated or covered textile fabrics; painted canvas being theatrical scenery, studio ..."	182	164	345	347	80	28	18	180	45	72	104	592	375	17	96	146	117		51121	39196	37840	35053	23483	22398	26388	39593	32411	48549	54142	52347	82410	67669	38936	40280	45729		4621	4791	4833	4210	5904	5455	6533	11129	10489	18729	18384	16950	20880	19046	15892	16490	15854	
8519	"Sound recording or sound reproducing apparatus"	362	48	120	160	151	41	2319	1573	1541	450	372	549	28	89	179	108	118		170509	171003	188387	163516	49236	49678	58496	48948	41706	31137	25846	25096	28277	47327	44101	42533	45188		2751	4949	11460	13380	5969	4541	23238	19109	16620	22508	18098	15415	12053	11166	8250	6694	8940	
8716	"Trailers and semi-trailers; other vehicles, not mechanically propelled (excluding railway and ..."	0	1	9	21	46	55	4	21	23	17	18	73	157	214	66	13	119		22931	34299	40093	55962	47177	38953	40048	33727	22915	35858	39894	46434	53638	53830	56261	51942	54174		18399	33356	74099	121150	102045	149624	194697	195115	69484	128407	260935	208174	205574	197319	162081	142934	152017	
6403	"Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of ..."	23	45	124	124	183	241	14	47	97	46	31	226	84	30	60	196	121		189949	155674	122559	100169	80902	59913	61071	60969	59682	71359	80480	86610	90893	81898	78242	73802	74366		40055	53514	84852	128145	169485	224995	269830	302161	230190	263087	320274	314181	351106	337290	280482	251420	225563	
9014	"Direction finding compasses; other navigational instruments and appliances (excluding radio ..."	98	97	66	50	50	66	115	253	64	177	276	134	94	159	116	104	121		12944	20853	16112	19710	21648	27445	31610	31485	36954	44056	29365	33351	25025	32385	28051	49281	94005		31024	24241	33618	34773	45320	48289	40568	74163	50303	44751	72226	53475	73195	62390	76873	63487	113152	
6903	"Retorts, crucibles, mufflers, nozzles, plugs, supports, cupels, tubes, pipes, sheaths, rods ..."	12	4	139	16	2	1	2	31	20	23	297	198	324	254	153	143	121		5190	7289	10540	16951	15748	21038	23544	26685	24788	33430	35592	26138	27817	30323	36776	30870	33247		17619	22228	26329	30167	30355	36886	52584	47839	36889	50308	58033	57021	56850	63567	49801	45872	58888	
1212	"Locust beans, seaweeds and other algae, sugar beet and sugar cane, fresh, chilled, frozen or ..."	0	0	0	0	2	0	0	0	0	1	0	0	49	47	89	5	126		87628	83899	88873	94452	87937	89120	74991	95905	79975	97302	137204	158978	137582	137306	145449	188952	284945		2081	3547	3910	3211	2540	4494	2380	1632	2040	1995	3571	6940	4938	8437	11613	7987	23950	
1302	"Vegetable saps and extracts; pectic substances, pectinates and pectates; agar-agar and other ..."	26	63	49	141	254	133	235	165	57	121	238	153	147	148	190	254	128		37919	41158	44484	46053	58250	60638	55304	59024	55614	57537	67142	67809	81651	83637	85359	90419	93438		18008	24465	36662	39252	36106	27488	18988	22954	24654	29375	33538	34455	38870	36608	34213	35593	37367	
7323	"Table, kitchen or other household articles, and parts thereof, of iron or steel; iron or steel ..."	117	40	136	158	171	252	337	256	179	341	278	153	274	366	466	321	130		159448	138539	98923	95629	79302	71036	62831	48057	44016	47540	53252	53220	61105	66873	72213	76779	63818		11354	13424	19004	28387	39826	45981	59098	73096	66032	87464	103631	88252	99125	92913	99103	80843	57133	
7207	"Semi-finished products of iron or non-alloy steel"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	15	130		71685	35112	25149	22275	61421	50268	95768	361723	136128	663664	1101146	1172063	683580	421663	163249	120617	392403		180204	172055	392722	628754	783499	1220885	1760684	3195545	1471923	1262581	1442835	1966077	2880981	2515445	1856027	1477335	2047602	
8104	"Magnesium and articles thereof, n.e.s.; magnesium waste and scrap (excluding ash and residues ..."	0	0	0	0	0	0	0	2	1	3	0	0	1	0	10	32	133		2765	4096	3532	2408	2370	4738	6724	12811	3792	3912	5317	4668	8510	11257	16023	18124	17772		3580	3764	4616	7655	16461	12967	20691	42590	17789	33742	35964	33880	40821	31566	31847	21906	33167	
7408	"Copper wire (excluding surgical sutures, stranded wire, cables, plaited bands and the like ..."	113	201	372	242	310	424	0	181	385	676	2122	1629	639	641	403	172	134		347118	372327	449689	702602	653740	966886	981070	913502	956656	1264871	942801	555276	682149	612297	482749	518435	687482		24274	17925	20084	89347	138417	272277	375050	483792	277025	313089	536020	591825	574890	574513	303950	292204	402693	
6404	"Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of ..."	19	17	8	62	4	9	19	3	0	558	2	22	45	2	36	67	137		71697	26910	13189	9431	9366	10212	7612	10414	10535	20707	21695	22699	28652	27583	29726	32709	64027		13951	17400	27587	51110	76453	84147	96598	113990	98689	124158	171549	182103	244949	263062	258741	273233	258738	
7224	"Steel, alloy, other than stainless, in ingots or other primary forms, semi-finished products ..."	1	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	138		4816	822	4865	4227	2775	559	6207	16887	5648	3843	8108	7587	9124	12340	3438	7312	4784		2927	2906	4522	7116	12501	13191	32146	14046	12726	16821	32018	30101	27814	38465	34512	31353	86203	
9006	"Photographic cameras, photographic flashlight apparatus and flashbulbs (excluding discharge ..."	180	384	432	167	153	81	110	96	47	116	145	61	55	151	251	203	138		62690	58700	48121	55501	47843	47996	53318	40176	29569	37826	33159	33209	58012	32585	36150	21976	13218		7020	9956	13069	11908	14103	10961	7978	5121	4407	5737	6950	5284	6507	7859	7636	7127	8531	
7018	"Glass beads, imitation pearls, imitation precious or semi-precious stones and similar glass ..."	1143	1599	3468	9465	8520	6329	3762	3251	1430	726	416	223	247	219	117	181	139		16741	17443	23207	39150	44555	41124	44340	37698	31247	39265	38070	21355	14318	15010	12334	9164	7686		6758	9002	12657	22218	30723	32538	38714	38746	30108	36242	35736	34420	39158	36852	25306	25814	24782	
5504	"Artificial staple fibres, not carded, combed or otherwise processed for spinning"	0	0	0	177	0	8	0	0	0	0	0	0	0	0	0	2	140		817	1330	6401	4903	4218	1149	1037	4410	3404	6645	1722	1731	2285	934	1053	1266	2484		77934	112770	144441	205902	192504	260699	435972	412925	399497	567085	689956	632905	512921	485351	479219	540988	547377	
2818	"Artificial corundum, whether or not chemically defined; aluminium oxide; aluminium hydroxide"	0	0	0	0	0	0	165	45	1	23	0	1	9	22	36	94	140		4384	5623	13276	18140	20866	25830	31598	44876	33470	81731	90784	61245	86699	85469	70035	70832	74010		11666	16696	21253	24703	27676	35326	38818	52265	34678	52287	59159	55491	64746	71272	58525	72087	75862	
4302	"Tanned or dressed furskins, incl. heads, tails, paws and other pieces, scraps and remnants, ..."	5	3	3	0	5	0	30	5	1	0	107	49	81	267	19	75	141		7290	6562	9138	6424	7538	8216	4977	5060	1960	5397	4634	3521	2341	3016	2680	4392	3397		91818	118146	107752	83586	76224	104426	112109	89772	43114	68010	85196	86218	88483	71148	27226	21063	30627	
8417	"Industrial or laboratory furnaces and ovens, non-electric, incl. incinerators (excluding drying ..."	0	0	845	127	90	161	3	17	3	3641	53	237	3207	199	2629	1965	141		16594	24062	51789	61581	46462	79393	110455	94209	100067	69758	175721	217236	141790	188494	130916	102622	73502		30396	33497	50444	49159	70369	112104	163634	152539	97856	58114	126598	108310	202673	105020	91426	249609	98118	
2008	"Fruits, nuts and other edible parts of plants, prepared or preserved, whether or not containing ..."	0	0	0	0	0	0	0	0	0	0	1	30	99	4	0	0	146		4525	6049	4560	6252	9488	10463	33413	35895	35677	46176	59648	64329	66936	67082	71704	88383	80915		2693	4692	4635	7303	20857	22646	26849	25565	20766	18732	36169	27415	32889	42797	51489	33869	30421	
2925	"Carboxyimide-function compounds, incl. saccharin and its salts, and imine-function compounds"	2	8	6	3	17	17	11	49	74	74	179	45	154	290	406	500	150		6588	6382	10738	15221	16265	14619	18244	49360	28896	25000	23081	23111	20623	26570	24328	34530	46178		6017	9508	14912	17313	12113	9976	11153	13493	11296	12518	16902	29926	42603	39683	23779	21763	22377	
5604	"Textile-covered rubber thread and cord; textile yarn, strip and the like of heading 5404 and ..."	0	0	1	0	3	0	100	0	48	19	42	34	58	40	117	25	152		10896	14057	11240	10621	6992	5605	7680	8905	6696	6022	7685	8600	8273	12037	15155	9871	9451		1842	1709	2556	2369	2586	4236	3631	3773	5963	8087	7984	4212	5340	5733	4450	4252	4615	
6704	"Wigs, false beards, eyebrows and eyelashes, switches and the like, of human or animal hair ..."	4	13	13	33	37	33	56	97	118	116	153	127	200	59	95	141	155		45038	36995	36065	27303	25336	27127	31257	39055	41045	39317	49374	47610	43158	40880	39468	44640	50678		346	390	566	790	1329	1926	3093	3183	2314	2675	3081	4734	4708	5327	4470	4297	5259	
4102	"Raw skins of sheep or lambs, fresh, or salted, dried, limed, pickled or otherwise preserved, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158		156	54	457	28	105	23	24	15	54	8	15	155	1	1	0	2	0		248462	402786	371161	338861	234875	274104	242480	179840	89215	167722	311596	334036	317107	184291	61800	32532	56845	
4819	"Cartons, boxes, cases, bags and other packing containers, of paper, paperboard, cellulose wadding ..."	9	24	24	85	310	111	24	55	55	320	29	211	65	59	87	56	159		93119	87382	92738	101231	114165	116455	90304	93307	97172	115281	141279	140310	155954	156361	144914	161365	174357		27957	30988	41855	53607	60778	68831	67121	67940	57088	68571	64733	67510	68148	65923	58327	59796	50818	
1211	"Plants and parts of plants, incl. seeds and fruits, of a kind used primarily in perfumery, ..."	11	14	0	0	0	0	0	0	0	48	16	45	215	110	66	27	159		47832	21515	32370	55304	45058	50989	54408	58731	67267	80762	137595	87530	109452	111840	88896	54430	71269		1030	1301	1770	2324	2600	2725	2675	5234	3291	4235	4390	4940	5034	7135	6505	7623	9965	
6813	"Friction material and articles thereof, e.g., sheets, rolls, strips, segments, discs, washers, ..."	23	3	76	37	18	89	166	127	195	186	1911	275	205	23	100	269	168		3124	5614	6401	9383	8536	12731	15654	19107	20743	26604	32217	24216	16300	17624	11728	13962	15395		7194	11877	18438	24550	26645	32312	42840	44513	37335	46050	58122	36706	35687	33771	34373	32477	34545	
8420	"Calendering or other rolling machines (other than for metals or glass) and cylinders therefor; ..."	41	48	68	61	25	1011	14	0	18	0	50	784	293	304	89	314	172		5891	7730	7010	10850	6070	13859	19123	12608	14068	25531	27686	24360	36070	33823	34317	67023	65335		3651	11324	14003	11150	13451	12792	13275	12740	7909	13344	20231	16440	19517	15638	15001	27894	13719	
8711	"Motorcycles, incl. mopeds, and cycles fitted with an auxiliary motor, with or without side-cars; ..."	0	0	0	175	1056	2319	1072	727	423	0	324	1115	1117	1699	1211	1151	173		77176	63603	67109	85863	114099	116258	111889	90588	62025	79819	79791	54774	54171	41929	24009	22957	8809		11838	8518	22218	99995	234084	364033	62577	51783	31290	54755	80826	104046	151445	178278	204341	240832	175092	
6506	"Headgear, whether or not lined or trimmed, n.e.s."	6	41	21	98	115	257	71	74	35	17	10	26	37	91	110	796	175		92872	92826	96440	122895	109498	110488	98199	87460	52990	50040	69981	82267	71090	84031	74056	69014	75926		1172	1414	2424	3512	5948	10388	9170	9370	7384	9198	11722	15180	17827	29961	25744	26309	24353	
8108	"Titanium and articles thereof, n.e.s.; titanium waste and scrap (excluding ash and residues ..."	0	0	0	5	0	5	0	0	0	0	9	9	2026	3959	16	112	178		4486	8758	4444	11054	29081	21570	56492	31070	22925	19612	74729	101385	194969	142282	52525	93731	56969		2406	1954	2576	8745	10084	18602	25411	25048	25990	28157	37185	44320	61312	65784	56994	79195	86193	
3405	"Shoe polish, furniture wax and floor waxes, polishes and creams for coachwork, glass or metal, ..."	0	84	120	5	1	14	67	13	67	0	163	65	207	313	82	108	180		9057	8230	11629	13948	13453	16224	11894	17276	13733	20143	30082	29156	28747	40778	64176	78280	95399		4201	5250	6167	7120	8673	9202	11855	12697	11018	14005	18092	16787	18218	17888	15594	14846	14504	
3207	"Prepared pigments, prepared opacifiers and prepared colours, vitrifiable enamels and glazes, ..."	0	27	10	17	11	36	77	65	126	193	267	213	2132	187	415	164	181		16681	26316	25403	38706	49070	60809	62258	65098	59077	90405	217069	360787	530413	422408	437669	554329	415654		31401	38114	49512	59522	71175	82820	99798	105742	79392	104902	136994	136590	125917	110922	94399	90081	100014	
1209	"Seeds, fruits and spores, for sowing (excluding leguminous vegetables and sweetcorn, coffee, ..."	10	16	18	15	0	0	2	3	4	22	169	252	108	52	44	79	181		17022	17365	15494	16825	17345	19469	22246	22948	22229	24584	29487	44785	40514	39652	46315	53131	57657		25407	36633	47037	52429	65496	78766	108889	135029	132236	137317	141702	150592	158391	143324	140162	133480	137613	
8467	"Tools for working in the hand, pneumatic, hydraulic or with self-contained electric or non-electric ..."	10	41	12	106	127	539	662	113	431	701	408	597	458	221	475	317	182		12308	32149	40728	65187	57634	55876	60775	63930	56369	65287	83918	78352	89789	89355	97204	90892	88367		11026	42930	71485	112888	156174	172741	196096	196812	140022	232317	263397	264821	236182	242792	241979	228681	227877	
5007	"Woven fabrics of silk or of silk waste"	66	49	192	612	673	631	209	405	563	420	431	187	307	99	99	71	182		120664	114326	106075	131618	138058	125582	106573	116170	87549	90546	102846	96997	85440	77669	68873	58889	49401		4449	5706	7765	15717	24027	25174	30041	34603	26811	33348	38645	30754	37050	37115	32253	29061	29676	
7806	"Articles of lead, n.e.s."	0	5	3	52	311	153	278	236	147	509	161	6	163	163	214	187	183		1474	3173	3700	4778	3469	6162	10027	10108	10341	14424	20146	9744	9903	11024	8497	9732	8710		1795	1899	2406	4304	3537	3464	4314	2931	2587	6082	2679	3237	3341	4278	3079	3305	3712	
8212	"Non-electric razors and razor blades of base metal, incl. razor blade blanks in strips"	134	0	0	4	21	36	26	15	44	63	175	51	183	73	17	55	186		19726	17803	18085	25021	33626	36014	47890	47879	57125	69987	68773	77120	58386	69436	114898	99664	94196		16626	18833	20325	31452	41725	48827	44632	52250	60651	68789	68386	77108	69146	100418	80174	68941	67528	
